"plate"	"sample"	"strain"	"concentration"	"max_slope"	"max_size"
"235"	4	"G4"	"BY_2n"	"10"	0.00723372755441149	0.24482
"236"	4	"G5"	"LL13_40"	"10"	0.00529834964862694	0.21513
"237"	4	"G6"	"LL13_54"	"10"	0.00507440386788011	0.21278
"238"	4	"G7"	"Jean_Talon"	"10"	0.0188018004586867	0.37532
"239"	4	"G8"	"London"	"10"	0.0133809742454242	0.31765
"240"	4	"G9"	"Windsor"	"10"	0.0125360239046526	0.34232
"241"	5	"B10"	"London"	"0"	0.228104	1.0839
"242"	5	"B11"	"LL13_40"	"0"	0.255932	1.2071
"243"	5	"B2"	"BY_1n"	"0"	0.15422	1.0711
"244"	5	"B3"	"cot1"	"0"	0.157549035534919	1.0953
"245"	5	"B4"	"BY_2n"	"0"	0.16717812210098	1.0401
"246"	5	"B5"	"LL13_40"	"0"	0.250984	1.2273
"247"	5	"B6"	"LL13_54"	"0"	0.267056	1.2036
"248"	5	"B7"	"Jean_Talon"	"0"	0.217668	1.1292
"249"	5	"B8"	"London"	"0"	0.216784	1.09
"250"	5	"B9"	"Windsor"	"0"	0.210088	1.093
"251"	5	"C10"	"London"	"2"	0.184686442007361	1.1131
"252"	5	"C11"	"LL13_40"	"2"	0.166304	1.0782
"253"	5	"C2"	"BY_1n"	"2"	0.102198011074394	1.076
"254"	5	"C3"	"cot1"	"2"	0.0693600000000001	0.84573
"255"	5	"C4"	"BY_2n"	"2"	0.113388	1.0239
"256"	5	"C5"	"LL13_40"	"2"	0.159923369616793	1.0836
"257"	5	"C6"	"LL13_54"	"2"	0.143684	1.0803
"258"	5	"C7"	"Jean_Talon"	"2"	0.200028	1.0851
"259"	5	"C8"	"London"	"2"	0.193774791653743	1.0823
"260"	5	"C9"	"Windsor"	"2"	0.194752618712413	1.1003
"261"	5	"D10"	"London"	"4"	0.1306	0.69237
"262"	5	"D11"	"LL13_40"	"4"	0.0900479999999998	0.7549
"263"	5	"D2"	"BY_1n"	"4"	0.0204394364539774	0.34897
"264"	5	"D3"	"cot1"	"4"	0.0122359129119975	0.28668
"265"	5	"D4"	"BY_2n"	"4"	0.034328	0.39645
