"VcfName","Pop"
"BSB.variant","01.W"
"BSC.variant","01.W"
"BSD.variant","01.W"
"BSE.variant","01.W"
"BSG.variant","01.W"
"BSI.variant","11.A"
"BSK.variant","M3.M"
"BSL.variant","01.W"
"BSM.variant","01.W"
"BSN.variant","01.W"
"BSP.variant","01.W"
"BSR.variant","01.W"
"BSS.variant","01.W"
"BST.variant","01.W"
"BTA.variant","M3.M"
"BTB.variant","M3.M"
"BTC.variant","08.M"
"BTD.variant","08.M"
"BTE.variant","08.M"
"BTF.variant","08.M"
"BTG.variant","04.M"
"BTH.variant","01.W"
"BTI.variant","M3.M"
"BTL.variant","01.W"
"BTN.variant","01.W"
"BTP.variant","01.W"
"BTR.variant","01.W"
"BTS.variant","25.S"
"BTT.variant","03.B"
"BTV.variant","03.B"
"BVA.variant","03.B"
"BVB.variant","03.B"
"BVC.variant","03.B"
"BVD.variant","03.B"
"BVE.variant","03.B"
"BVF.variant","03.B"
"BVG.variant","03.B"
"BVH.variant","03.B"
"BVK.variant","01.W"
"BVM.variant","01.W"
"BVT.variant","01.W4"
"BVV.variant","01.W4"
"CAA.variant","01.W4"
"CAB.variant","01.W4"
"CAC.variant","01.W4"
"CAD.variant","01.W4"
"CAE.variant","01.W"
"CAF.variant","01.W"
"CAH.variant","01.W"
"CAI.variant","01.W"
"CAK.variant","01.W"
"CAL.variant","01.W"
"CAM.variant","01.W4"
"CAN.variant","01.W4"
"CAP.variant","01.W4"
"CAQ.variant","01.W4"
"CAR.variant","01.W4"
"CAS.variant","01.W4"
"CAT.variant","01.W4"
"CAV.variant","01.W4"
"CBA.variant","01.W"
"CBB.variant","01.W4"
"CBC.variant","01.W4"
"CBD.variant","01.W4"
"CBE.variant","01.W4"
"CBF.variant","08.M"
"CBG.variant","01.W"
"CBH.variant","01.W"
"CBI.variant","01.W1"
"CBK.variant","M3.M"
"CBL.variant","M3.M"
"CBM.variant","M3.M"
"CBN.variant","07.M"
"CBR.variant","11.A"
"CCC.variant","21.E"
"CCD.variant","21.E"
"CCE.variant","21.E"
"CCF.variant","21.E"
"CCG.variant","21.E"
"CCH.variant","21.E"
"CCI.variant","21.E"
"CCL.variant","04.M"
"CCM.variant","01.W1"
"CCN.variant","18.F"
"CCP.variant","unk"
"CCQ.variant","18.F"
"CCR.variant","18.F"
"CCS.variant","18.F"
"CCT.variant","24.A"
"CCV.variant","24.A"
"CDA.variant","24.A"
"CDB.variant","unk"
"CDC.variant","M3.M"
"CDD.variant","M3.M"
"CDE.variant","M3.M"
"CDF.variant","22.R"
"CDG.variant","22.R"
"CDH.variant","22.R"
"CDI.variant","22.R"
"CDK.variant","M3.M"
"CDL.variant","18.F"
"CDM.variant","M2.M"
"CDN.variant","unk"
"CDP.variant","unk"
"CDQ.variant","unk"
"CDR.variant","08.M"
"CDS.variant","01.W"
"CDT.variant","02.A"
"CDV.variant","01.W"
"CEA.variant","01.W"
"CEB.variant","01.W"
"CEC.variant","01.W"
"CED.variant","01.W"
"CEE.variant","01.W"
"CEF.variant","01.W"
"CEG.variant","17.T"
"CEH.variant","unk"
"CEI.variant","17.T"
"CEK.variant","26.A"
"CEL.variant","26.A"
"CEM.variant","M3.M"
"CEN.variant","M3.M"
"CEP.variant","unk"
"CEQ.variant","M3.M"
"CER.variant","06.A"
"CES.variant","06.A"
"CET.variant","06.A"
"CEV.variant","26.A"
"CFA.variant","13.A"
"CFB.variant","01.W"
"CFC.variant","11.A"
"CFD.variant","11.A"
"CFE.variant","01.W"
"CFF.variant","07.M"
"CFG.variant","11.A"
"CFH.variant","11.A"
"CFI.variant","08.M"
"CFM.variant","11.A"
"CFN.variant","08.M"
"CFP.variant","08.M"
"CFQ.variant","01.W"
"CFR.variant","01.W"
"CFS.variant","01.W"
"CFT.variant","M2.M"
"CFV.variant","01.W"
"CGB.variant","M3.M"
"CGC.variant","11.A"
