gr	sample	Type2	Groups2	Geographic origin	Substrate	Type	Country
Group4	AHV	Beer	08.M	unk	Brewery	Beer	unk
Group4	ADP	unk	08.M	French Guiana	Unknown	unk	French Guiana
Group4	AGK	Wild	08.M	UK	Trinidadian cane sugar	Plant	UK
Group4	AAM	Baking	08.M	France	Bakery	Baking	France
Group4	CDR	Wild	08.M	Spain	Flowers of Centaurea alba	Flower	Spain
Group4	AFF	Baking	08.M	France	Bakery	Baking	France
Group4	ATR	Wild	08.M	Spain	Fruit	Fruit	Spain
Group4	AFE	Wild	08.M	Sweden	Seawater	Water	Sweden
Group4	YO465	Wild	Beer/baking	Gothenburg, Sweden	Fish gut	Fish	Sweden
Group4	AFC	Wild	08.M	Goteborg, Sweden	Salmo gairdneri (rainbow trout)	Animal	Sweden
Group4	AQI	Wild	08.M	Sweden	Seawater	Water	Sweden
Group4	APM	Baking	08.M	Korea	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Baking	Korea
Group4	API	Baking	08.M	Korea	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Baking	Korea
Group4	PYCC4226	Baking	Beer/Bread	unk	Commercial bread dough	Baking	unk
Group4	WI008	Wine	Mixed/Mosaic	Unknown	Wine	Wine	unk
Group4	BTF	Baking	08.M	unk	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Baking	unk
Group4	ASL	Baking	08.M	Anatolia, Turkey	Bakery levain	Baking	Turkey
Group4	AAL	Baking	08.M	France	Bakery	Baking	France
Group4	BTC	Baking	08.M	unk	Fleischmann baker's yeast.	Baking	unk
Group4	BCS	Wild	08.M	Israel	Evolution canyon	Nature	Israel
Group4	BMG	Clinical	08.M	Norway	Human sputum	Human	Norway
Group4	YO367	Wild	Beer/baking	Evolution Canyon, Israel	South facing shady spot, Station 2	Nature	Israel
Group4	BCR	Wild	08.M	Israel	Evolution canyon	Nature	Israel
Group4	YO1164	Wild	Beer/baking	San Jacinto, CA, USA	D. pseudoobscura	Insect	USA
Group4	YO807	Wild	Beer/baking	unk	Canned peaches	Fruit	unk
Group4	YO707	Wild	Beer/baking	unk	Coconut pod	Fruit	unk
Group4	BBP	Wild	08.M	Spain	Flower of Centaurea alba	Flower	Spain
Group4	ATS	Wild	08.M	Spain	Flower	Flower	Spain
Group4	CHL	Baking	08.M	Northern Europe	Bakery	Baking	Europe
Group4	ASP	unk	08.M	France	Unknown	unk	France
Group4	A.BRY-97	Beer	Beer/baking	American	Commercial Ale	Ale	USA
Group4	ANP	Wild	08.M	Navassa Island	Drosophila sp. from Opuntia stricta,	Insect	Navassa Island
Group4	CIE	Clinical	08.M	Spain	Mouth	Human	Spain
Group4	YO1201	Wild	Beer/baking	Java - Indonesia	Green coffee beans	Coffee bean	Indonesia
Group4	AML	Wild	08.M	Tuchih, Nantou, Taiwan	Leaf of Acacia dealbata	Tree	Taiwan
Group4	YO1128	Wild	Beer/baking	Ismaili District, Yemen	Green coffee beans	Coffee bean	Yemen
Group4	ABM2	Baking	Beer/baking	unk	Commercial Baking	Baking	unk
Group4	Platinum	Baking	Beer/Bread	unk	Commercial bread dough	Baking	unk
Group4	YO1133	Wild	Beer/baking	Yirgacheffe, Ethiopia	Green coffee beans	Coffee bean	Ethiopia
Group4	AMK	Wild	08.M	Tuchih, Nantou, Taiwan	Leaf of Cunninghamia lanceolata	Tree	Taiwan
Group4	APN	Baking	08.M	Philippines	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Baking	Philippines
Group4	AMQ	Wild	08.M	Tuchih, Nantou, Taiwan	Leaf of Acacia dealbata	Tree	Taiwan
Group4	AMI	Wild	08.M	Yuchih, Nantou, Taiwan	Leaf of Podocarppus macrophyllus	Tree	Taiwan
Group4	APK	Baking	08.M	South Africa	Baker's yeast	Baking	South Africa
Group4	AMG	Wild	08.M	Tuchih, Nantou, Taiwan	Leaf of Ardisia cornudentata	Tree	Taiwan
